reference,LAPTOP_MODEL,description,PRICE,created_at,city,spec_Carte graphique,LAPTOP_CONDITION,LAPTOP_BRAND,CPU,RAM_SIZE,spec_Reférence carte graphique dédiée,spec_Reférence carte graphique integrée,STORAGE_SIZE,SCREEN_SIZE,STORAGE_TYPE,RAM_GB,SSD_GB,HDD_GB
 A16 TUF617,ASUS TUF GAMING ADVANTAGE EDITION AMD Ryzen 7 7735HS à 4.75 GHz 16GB 1TB SSD 16GB 165Hz RX 7600S 8GB,16GB DDR5 ,195000.0,2024-09-26T17:03:19.000Z,Bab ezzouar,Integrée + Dédiée,Etat neuf,ASUS,AMD Ryzen 7 7735HS Jusqu’à 4.75 GHz 8cœurs  threads 16 16mo cache,16 GO,Graphics AMD Radeon RX 7600S 8GB,AMD Radeon™️ 680M RAM,1TBGO,15.0,SSD,16,1024,0
,"ASUS VIVOBOOK X415 I3 1115G4 8GB 256SSD 14"" ","ORDINATEUR PORTABLE
MODEL: ASUS VIVOBOOK X415
--------Caractéristiques‐‐--------
✅Processeur: INTEL CORE I3 1115G4 3.00UP TO 4.30GHZ
✅Mémoire vive: 8 GB DDR 4 3200MHz
✅Disque Dur: 256 GB SSD
✅CARTE GRAPHIQUE : INTEL UHD
✅Ecran: 14 FHD
✅Clavier: QWERTY
✅Interfaces
1HDMI
2 USB
1 TYP C
1 prie jack (casque, écouteurs,...),
...................PRIX 58 000DA.....................
✅Système d'exploitation:
WINDOWS 11
✅Payement Baridi Mob accepté ✅
✅Fournir Avec Chargeur
✅Livraison à domicile payement à livraison
Garantie 03 MOIS avec facture de garantie
☎️ Contact :Commercial : 0562387372/0777626558/ 0778792038 / 023927587
Email : deystore16@gmail.com",58000.0,2025-03-06T14:43:26.000Z,Bab ezzouar,Intégrée,Bon état,ASUS,intel core i3 1115g4 3.00up to 4.30ghZ,8 GO,,intel uhd,256GO,14.0,SSD,8,256,0
ASUS ZENBOOK UX325,"ASUS ZENBOOK UX325 RYZEN 7 5700U 16 GB 512 GB SSD FHD 13""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
• FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : ASUS
• MODELE : ZENBOOK UX325
-------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : AMD Ryzen™ 7 5700U 16M cashe Up to 4.2GHz
• MEMOIRE : 16 GB
• STOCKAGE : 512 GB SSD
• ECRAN : 13"" FULL HD (1920 X 1080)
• CARTE GRAPHIQUE INTIGREE : AMD Radeon™ Graphique
• CLAVIER LUMINEUX
• INTERFACES : 1 X USB 3.0 / 2 X USB TYPE C / 1 X HDMI
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS ORIGENAL


PRIX : 89 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
---------------------------------
•Contact : 0559425599
• Email : contact@tretec-dz.com
• Page Facebook : www.facebook.com/tretec.dz
• SITE Web : www.tretec-dz.com
• https://maps.app.goo.gl/YtG9YiR813uLCYCbA",89000.0,2024-11-27T14:25:55.000Z,Bab ezzouar,Intégrée,Bon état,ASUS,RYZEN 7 5700U,16 GO,,AMD RADEON GRAPHICS,13GO,13.0,SSD,16,13,0
,Lenovo thinkbook 15-iil ,"Lenovo thinkbook 15-iil sm20  🇫🇷 🇫🇷
Modèle : 25KOHB7 
Processeur: i5 1035G1. (10Gn)
carte graphique: Intel UHD Graphics
Ram:  8G ddr4
Disque dur : ssd samsung  nvme m2  500G 
Écran : 15.6p.  FHD 
Clavier: Azerty lumineux
Security: empreinte, Face Id,  Mot de.    passe 
Batterie: +4h 
Chargeur original 65w
Etat 9.9/10. 


",63000.0,2025-01-10T15:25:35.000Z,Sidi rached,Intégrée,Etat neuf,LENOVO,I5 1035g1,8 GO,,,500gGO,15.6,SSD,8,500,0
X415J,LAPTOP ASUS VIVOBOOK X415J | I7 1065G7 | 8GB | 1TB HDD | 2GB NVIDIA MX110 | 14'' FHD,"Pc portable ASUS X415J doté d’un processeur INTEL I7 1065G7, RAM de 8GB, Disque Dur de 1TB HDD, avec une carte graphique MX110 DE 2GB, écran de 14'' FULL HD.",139900.0,2025-07-29T09:16:32.000Z,Bab ezzouar,Intégrée,Neuf jamais utilisé,ASUS,I7 1065G7,8 GO,2GB NVIDIA MX110,INTEL UHD GRAPHICS 630,1000GO,14.0,HDD,8,0,1000
وهران ,وهران ,,270000.0,2025-07-21T11:09:15.000Z,Oran,,Etat neuf,,,16 GO,,,512GO,15.6,,16,512,0
,MACBOOK AIR 2022 M2 BATTERIE 100% CYCLE 13 08RAM 256SSD ÉTAT 20/20 NEUF,"● MACBOOK AIR 2022 M2 BATTERIE 100% CYCLE 13 08RAM 256SSD ÉTAT 20/20 NEUF
● ÉCRAN 13.6’’
● PROCESSEUR M2
● CLAVIER AZERTY
● RAM 08 RAM 
● DISQUE DUR 256 SSD 
● CARTE GRAPHIQUE M2 
● ETAT NEUF 20/20
● CHARGEUR ORIGINAL
>>>>>>■●PRIX 169 999●■
>>>>>>●GARANTIE 06 MOIS●
>>>>>>Possibilité de facturation pour entreprise
>>>>>>Livraison disponible pour les 58 wilayas paiement a la livraison التوصيل لـ 58 ولاية مع الدفع عند الإستلام
>>>>>>Numéro de téléphone 0792294989 ainsi que Viber et WhatsApp
Pour voir plus de produits veuillez consulter notre page

>>>>https://www.ouedkniss.com/store/4105/am-tech/accueil?page=1
",169900.0,2025-01-13T21:22:26.000Z,Dely brahim,Intégrée,Etat neuf,APPLE,M2,8 GO,,M2,256GO,13.0,SSD,8,256,0
AIR M4,MACBOOK AIR M4 2025 13.6 10C CPU 8C GPU 16G RAM - 256 SSD  ,"Disponible MACBOOK AIR M4 2025 🔥

Disponible MACBOOK AIR M4 2025 

Puce Apple M4
CPU 10 cœurs avec 4 cœurs de perfor­mance et 6 cœurs à haute effica­cité énergétique
GPU 8 cœurs
Ray tracing à accélération matérielle
Neural Engine 16 cœurs
120 Go/s de bande passante mémoire

Moteur médias
Accélération matérielle pour H.264, HEVC, ProRes et ProRes RAW
Moteur de décodage vidéo
Moteur d’encodage vidéo
Moteur d’encodage et de décodage ProRes
Décodage AV1

Écran Liquid Retina
Écran rétroéclairé par LED de 13,6 pouces (diagonale) avec techno­logie IPS2 ; réso­lution native de 2 560 x 1 664 pixels à 224 pixels par pouce
Luminosité de 500 nits

Couleur
Prise en charge d’un milliard de couleurs
Large gamme de couleurs (P3)
Technologie True Tone

Auto­nomie et alimentation3
Jusqu’à 18 heures de streaming vidéo
Jusqu’à 15 heures de navigation web sans fil
Batterie lithium‑polymère intégrée de 53,8 Wh
Adaptateur secteur USB‑C 30 W (inclus avec la puce M4 à GPU 8 cœurs)
Adaptateur secteur double port USB-C 35 W (inclus avec la puce M4 à GPU 10 cœurs ; configurable avec la puce M4 à GPU 8 cœurs)
Câble USB‑C vers MagSafe 3
Capacité de charge rapide avec l’Adaptateur secteur USB‑C 70 W

Wi‑Fi 6E (802.11ax)5
Bluetooth 5.3

Garantie 6 mois ✅

Livraison 58 wilaya ✅

Payement a la livraison 🚚 

Facturation dispo pour les sociétés ✅

",245000.0,2025-08-11T11:31:29.000Z,Bab ezzouar,Intégrée,Neuf jamais utilisé,APPLE,APPLE M4,16 GO,APPLE M4,APPLE M4,256GO,13.0,SSD,16,256,0
,"LENOVO GAMING 3 RYZEN 5 4600H 8GB 512SSD GTX 1650 TI 4GB 15.6""","LENOVO GAMING 3
--------Caractéristiques‐‐--------
✅Processeur: AMD RYZEN 5 4600H 3.00UP TO 4.00GHZ
✅Mémoire vive: 8 GB LPDDR4 3200MHz
✅Disque Dur: 512 GB SSD
✅CARTE GRAPHIQUE : AMD RADEON
GEFORCE GTX 1650 TI 4GB
✅Ecran: 15.6 FHD
✅Clavier: AZERTY
✅Interfaces :
2 port USB
1 port HDMI
2 TYP C
1 prie jack (casque, écouteurs,...),
...................PRIX 109000DA.....................
✅Système d'exploitation:
WINDOWS 11
✅Payement Baridi Mob accepté ✅
✅Fournir Avec Chargeur
✅Livraison à domicile payement à livraison
Garantie 06 MOIS avec facture de garantie
☎️ Contact :Commercial : 0562387372/0777626558/ 0778792038 / 023927587
Email : deystore16@gmail.com",109000.0,2024-07-30T08:30:11.000Z,Bab ezzouar,Integrée + Dédiée,Etat neuf,LENOVO,amd ryzen 5 4600h 3.00up to 4.00ghZ,8 GO,gtx 1650 ti 4gb,amd radeon,512GO,15.0,SSD,8,512,0
DELL LATITUDE 5300,DELL LATITUDE 5300 I7 8665U 16GB 512GB SSD ,"Chez magasin BR INFORMATIQUE 

✨✨DELL LATITUDE 5300✨✨
OCCASION COMME NEUF | مستعمل في حالة الجديد 

Configuration : 

• Processeur : INTEL CORE I7 8665U  (8TH) 
8M Cache, up to 4.80 GHz
• RAM : 16 GB DDR4 2400 MHZ
• Stockage : 512GB SSD NVMe
• Ecran : 14,1  POUCES FULL HD IPS
• Carte Graphique : INTEL UHD 620 GRAPHICS 
• Clavier : QWERTY LUMINEUX 
• Interfaces : USB 3.0 / HDMI / TYPE C / RJ45
• Wi-Fi 6+ Bluetooth + webcam 
• System d’exploitation : Windows 10 Original 
•ETAT : 10/10 
• CHARGEUR DELL ORIGINAL 

✨PRIX :  68 000 DA ✨

‎VENTE AVEC CERTIFICAT DE GARANTIE 03 MOIS 
Possibilité de facturation
Livraison 58 wilaya avec paiement à la livraison 📦 🚚
‎توصيل 58 ولاية مع الدفع عند الاستلام 🚚
Heure de travail : 9H00 —> 19H00

Tel : 0541012707 / 0770299960 / 023830220
Maps : br informatique bab ezzouar
Em1ail : br.informatique16@gmail.com",68000.0,2024-11-04T12:02:35.000Z,Bab ezzouar,Intégrée,Etat neuf,INTEL,Intel core i7 8665U,16 GO,,Intel UHD 620,512GO,13.3,SSD,16,512,0
Acer nitro v5 ,Acer nitro V Ryzen 5 7535hs rtx 3050 6gb vram ,"Laptop Acer nitro V Disponible Chez  @kizmostore 

▫️Écran: 15.6in FHD (1920x1080) IPS 300nits Anti-glare, 165Hz, 100% sRGB, Dolby Vision, Free-Sync, G-Sync, DC dimmer.
▫️CPU Type: AMD Ryzen 5 7535Hs (6C / 12T, 3.3 / 4.6GHz, 3MB L2 / 16MB L3)
▫️Cart Graphique: NVIDIA GeForce RTX 3050 6GB GDDR6,
▫️RAM: 16  GB DDR 5 extensible 
▫️Disque: 512 GB SSD NVMe 
▫️ Clavier rétro-éclairé rgb
▫️System: Win 11 
État neuf sous emballage 

💰Prix: 178 000 Da prix Pour 16Gb ddr 5 + 6000da

☎️Contacte : -
 -

📍Adresse : cité 2068 Smail Yafsah Bab Ezzouar",178000.0,2025-08-11T07:15:49.000Z,Bab ezzouar,Integrée + Dédiée,Neuf jamais utilisé,ACER,Ryzen 5 7535Hs,8 GO,Nvidia rtx 3050,Radeon,512GO,15.6,SSD,8,512,0
A1990,MacBook Pro 15 inch,"Macbook PRO 2018 A1990

✅ CPU: Processeur i7
✅ RAM: 16 Go 
✅ Stockage: 256 / 512 Gb SSD
✅ Écran: 15"" Retina  
✅ BON ETAT

***Produits garantis

***Disponible de 10 h à 19h


***Livraison disponible,58 WILAYA
***Payement a la livraison.
***Possibilité de facturation
***Possibilité de Versement (CCP BaridiMob Bancaire)

47 Avenue Des Frères Abdeslam ,Kouba Algerie





",125000.0,2024-11-03T12:08:03.000Z,Kouba,,Bon état,APPLE,,16 GO,,,256 / 512GO,15.0,SSD,16,256,0
,HP laptop ,État 8/10,22000.0,2025-07-23T07:44:34.000Z,Bechar,,Bon état,,I5 3 ème génération,4 GO,,,500GO,15.6,,4,500,0
HP EliteBook x360 1030 G8 CONCEPTION CONVERTIBLE TACTILE 2-en-1 Hybride FHD | INTEL 11EME GEN CORE i7 1165G7 @2.80GHz | 16GB RAM | 512GB NVME SSD | INTEL IRIS EX GRAPHICS | LTE 4G,HP EliteBook X360 1030 G8 2-EN-1 TACTILE | INTEL CORE i7 1165G7 | 16GB RAM | 512GB NVME SSD | LTE 4G,"HP EliteBook x360 1030 G8 CONCEPTION CONVERTIBLE TACTILE 2-en-1 Hybride FHD | INTEL 11EME GEN CORE i7 1165G7 @2.80GHz | 16GB RAM | 512GB NVME SSD | INTEL IRIS EX GRAPHICS | LTE 4G

➡️ ÉTAT NEUF 10/10 ➡️ Fournie avec chargeur d'origine ➡️
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
⏬
‎✔️ التوصيل لكل ولايات الوطن ✔️
‎⬅️ الدفع عند الإستلام ⬅️
‎✔️مع امكانية الدفع عن طريق بطاقة بايسرا ✔️

⬅️
للطاب أو الإستفسار يرجى الإتصال بنا في الهاتف أو على واتساب في
☎️ O6 73 59 49 24 ☎️ : الرقم التالي
⬅️
➡️ disponible aussi sur Viber ou WhatsApp ☎️ O7 76 09 75 07 ☎️ ⬅️
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

➡️ Livraison 58 wilaya ➡️
➡️ Payement à la collecte ➡️
☎️ Whatsapp : ☎️ O7 76 09 75 07 ☎️ ☎️ WhatsApp : ☎️ O6 73 59 49 24 ☎️
- - - - - - - - - - - - - - - - - - - - - -
➡️ lieu Mostaganem centre Ville. Livraison 48 Wilaya ➡️➡️
✅✅✅✅",109000.0,2025-08-06T10:56:25.000Z,Mostaganem,Intégrée,Etat neuf,HP,INTEL 11EME GENERATION CORE i7 1165G7 @2.80GHz,16 GO,,INTEL IRIS EX GRAPHICS,512GO,13.0,SSD,16,512,0
ThinkPad T490,Lenovo ThinkPad T490 { Peu Utilisé },"El Qalam Technology vous propose un excellent PC d'occasion ThinkPad T490 en état 10/10 au prix choc de seulement 59 900 DA. Vous Disposez alors de la configuration suivante :
✔️ Processeur : Intel® Core™ i5-8365U UP TO 4.1 GHz
✔️ Ram : 8GB DDR4
✔️ Stockage : 256GB SSD  
✔️ Ecran : 14 "" {1 920 x 1 080 } FHD
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
🏪Magasin Ouvert 6/7 de 8h à 21h
🗺️Adresse : 13,rue des frères Abdeslami,Kouba,Alger
🚚 Livraison 58 Wilaya Disponible
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

🌐 Consultez notre page Ouedkniss pour voir tous les produits proposés 🌐

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",59900.0,2025-07-27T08:20:12.000Z,Kouba,Intégrée,Etat neuf,LENOVO,Intel® Core™ i5-8365U UP TO 4.1 GHz,8 GO,,INTEL HD GRAPHIQUE,256GO,14.0,SSD,8,256,0
"Apple MacBook Air 13"" 512 Go SSD 16 Go RAM Puce M4",MacBook Air M4 juin 2025,"Apple MacBook Air 13"" 512 Go SSD 16 Go
RAM Puce M4 CPU 10 cœurs GPU 10 sous emballage sellee",300000.0,2025-07-20T12:00:36.000Z,Bab ezzouar,,Neuf jamais utilisé,APPLE,M4 CPU 10 cœurs GPU 10,16 GO,,,512GO,13.0,SSD,16,512,0
DELL LATITUDE 7420,DELL LATITUDE 7420 I7-1165g7 16GB 256GB NVME ,"
Produit : Ordinateur Portable
Marque : Dell
Modèle : Latitude 7420

PROCESSEUR : Intel® Core™ i7-1165G7
MEMOIRE : 16 GB
STOCKAGE : 256 GB SSD
ECRAN : 14"" FULL HD (1920 X 1080)
CARTE GRAPHIQUE INTIGREE : Intel® Iris® Xe Graphics
CLAVIER LUMINEUX
INTERFACES : USB 3.0 / USB TYPE C / HDMI
WIFI + BLEUTHOOT + WEB CAM",72000.0,2024-10-08T11:02:37.000Z,Bordj ghedir,Dédiée,Etat moyen,DELL,Intel® Core™ i7 1165G7 11Th Génération,16 GO,,INTEL IRIS XE GRAPHICS,256GO,14.0,SSD,16,256,0
MACBOOK PRO RETINA 2013 13 POUCES - INTEL CORE I5 2.60GHz - 8GB RAM - 256GB SSD - INTEL HD GRAPHICS - COMPTAGE DE CYCLES 107,MACBOOK PRO RETINA 2013 13 POUCES - INTEL CORE I5 @2.60GHz - 8GB RAM - 256GB SSD - CYCLES 107,"MACBOOK PRO RETINA 2013 13 POUCES - INTEL CORE I5 2.60GHz - 8GB RAM - 256GB SSD - INTEL HD GRAPHICS - COMPTAGE DE CYCLES 107

➡️➡️ ETAT 10/10 ➡️ Fournie avec chargeur d'origine ➡️ CYCLE BATTERIE 🔋107

NOUS POUVONS VENDRE LE MACBOOK PRO SANS CHARGEUR ( 30000 DINARS )
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
⏬
‎✔️ التوصيل لكل ولايات الوطن ✔️
‎⬅️ الدفع عند الإستلام ⬅️
‎✔️مع امكانية الدفع عن طريق بطاقة بايسرا ✔️

⬅️
للطاب أو الإستفسار يرجى الإتصال بنا في الهاتف أو على واتساب في
☎️ O6 73 59 49 24 ☎️ : الرقم التالي
⬅️
➡️ disponible aussi sur Viber ou WhatsApp ☎️ O7 76 09 75 07 ☎️ ⬅️
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

➡️ Livraison 58 wilaya ➡️
➡️ Payement à la collecte ➡️
☎️ Whatsapp :☎️ O7 76 09 75 07 ☎️ ☎️ WhatsApp :☎️ O6 73 59 49 24 ☎️
- - - - - - - - - - - - - - - - - - - - - -
➡️ lieu Mostaganem centre Ville. Livraison 48 Wilaya ➡️➡️
✅✅✅✅",37000.0,2025-08-04T09:42:35.000Z,Mostaganem,Intégrée,Etat neuf,PPLE,INTEL CORE I5 2.60GHz,8 GO,,INTEL HD GRAPHICS 4000,256GO,13.0,SSD,8,256,0
HP pro Book 640 G1,كمبيوتر hp,"الشاحن:موجود✅
السعر:35000✅

",35000.0,2025-07-01T18:14:49.000Z,Blida,Intégrée,Bon état,HP,intel core i5,4 GO,,intel HD Grap hics 4600,500GO,14.0,HDD,4,0,500
,LAPTOP HP PROBOOK 430 G7 | i3 10ème | RAM 8Go | SSD 128Go | Écran 14 FHD Tactile ,"⛔️LAPTOP HP PROBOOK 430 G7 ⛔️

européenne en excellent état 10/10 professionnel :‎مستورد من الخارج (كابه)، بحالة ممتازة، شبه جديد.                     

✅Processeur : Intel core i3 10110 @2,59GHz.                                             ✅La ram : 8 GB DDR4.                      
✅disk dur : 128 Go SSD.                
✅Carte Graphique : intel UHD Graphique .                                                  ✅Écran : 14 Pouce FHD Tactile.             ✅poid : 1,2 KG.                                                    ✅ Système Windows 10 Pro.                  
✅ Webcam / USB  3.0/ Port HDMI / Port Type C /             
🚨 PRIX : 44 000 DZD🚨
🔄Garantie : jusqu’à 6 Mois
🧾Facturation pour les Entreprises
🏠Adresse : cité 11 décembre BT N° 65 Boumerdes enface résidence yasref
🏰Magasin : High Tech
📳Télé :   / 
🚚 Livraison disponible 58 wilaya
⚠️Instagram : hightechboumerdes
🛜FaceBook : hightechbmrds📍Maps : https://goo.gl/maps/cDP5J1nWMiY8dxrP9. ",44000.0,2024-09-29T13:27:03.000Z,Boumerdes,Intégrée,Etat neuf,HP,Intel core i3 10110,8 GO,,Intel UHD GRAPHIQUE,128GO,14.0,SSD,8,128,0
Latitude 3520,"Dell Latitude 3520 i5 1145G7 16G 256 SSD 15.6"" Full HD ","Dell Latitude 3520 i5 1145G7 16G 256 SSD 15.6"" Full HD 

❇️ Produit : Laptop 
❇️ Marque : Dell
❇️ Modèle : Latitude 3520 

✔️ Processeur : Intel® Core™ i5 1145G7 2 Cores 4M Cache Boost 4.1 GHz
✔️ Mémoire vive : 16G DDR4
✔️ Disque Dur : 256 SSD Nvme
✔️ Ecran : 15.6"" Pouce 1920X1080 Full HD 
✔️ Carte Graphique Intégrée : Intel Iris Xe Graphics
✔️ Interface : 1 Type C | 3 USB 3.0 | HDMI | RJ45 | Micro SD
✔️ Clavier AZERTY Lumineux
✔️ Empreinte Digitale
✔️ Wifi | Bluetooth | Webcam
✔️ Batterie Excellente | Chargeur Original
✔️ System d'exploitation : Windows 11 Pro Original
✔️ Possibilité Augmentation Du Configuration : Ram | Disque dur
✔️ Possibilité De Facturation Pour Les entreprise

⚡ Prix : 78 000.00

➖ livraison Gratuite à Domicile 58 Wilaya
➖ Paiement à La Livraison
➖ Garantie 3 Mois + Service Après Vente
➖ Adresse : Bâtiment EPLF, Bab Ezzouar, Alger
➖ Localisation GPS : Shifttech Informatique
➖ Facebook | Instagram | TikTok : Shifttech16
➖ Mobile | Viber | WhatsApp :
>>> 0773/68/73/39 | 0550/18/68/09 | 0660/10/29/29",78000.0,2025-08-10T13:01:44.000Z,Bab ezzouar,Intégrée,Bon état,DELL,Intel® Core™ i5 1145G7 2 Cœurs 4M Cache Boost 4.1 GHz,16 GO,,Intel Iris Xe Graphics,256GO,15.6,SSD,16,256,0
"Razer blade 14"" i7 4K 16GB GTX 1060","Razer blade 14"" i7 4K 16GB GTX 1060","Razer blade 14 2017
Ecran 4K 60hz Tactile
Intel i7 6700HQ
GTX 1060 6GB
Ram DDR4 16GB
Ssd 256GB nvme
Keyboard RGB

Battery mlachia, Yamchi b chargeur Gaming, Editing, 3D.

Prix  89500 million fixe",80000.0,2025-06-13T21:09:31.000Z,Tipaza,Dédiée,Bon état,RAZER,I7 6700hq,16 GO,Gtx 1060,Gtx1060,256GO,14.0,SSD,16,256,0
,HP PROBOOK 440 G8,"📢🔥🔥✨HP PROBOOK 440 G8 OCCASION CABA* Disponible chez MEI Informatique (Magasin De Vente & Maintenance Électrique & Informatique)🔥🔥✨📢
----------------------------------------------
*LAPTOP💻 IMPORTE D'EUROP Garantie 1 mois
🔌Chargeur Originale Disponible🔌
----------------------------------------------
Caractéristique :
📌 CPU : i5-1135G7 2.40GHZ 
📌Ram : 16 GB
📌Disque : 512GB SSD
📌Écran : 14""
📌GPU : INTEL IRIS XE GRAPHICS
📌État 9.5/10
💵Prix : 88000.00DA💵
``````````````````````````````````````````````````````
📦 LIVRAISON DISPONIBLE 📦
📦 58 WILAYA 📦
``````````````````````````````````````````````````````
☎️ CONTACT: 0561 80 01 98 /0774 28 37 32/0791 18 31 05☎️
📩Email : mei.alger@gmail.com
📍Page Facebook : MEI Informatique
📍 Instagram : @meiinformatique
📍 Whatsapp : 0774 283 732
📍 CITE BOUSHAKI E LOT N° 03 , Bab Ezzouar , Alger",88000.0,2025-08-11T08:12:55.000Z,Bab ezzouar,Intégrée,Etat neuf,HP,i5-1135G7 2.40GHZ,16 GO,,INTEL IRIS XE GRAPHICS,512GO,14.0,SSD,16,512,0
HP ELITEBOOK 840 G6,"HP ELITEBOOK 840 G6 I5 8th 8 GB 256 GB SSD FHD 14""",,59900.0,2025-08-10T11:45:47.000Z,Bab ezzouar,Intégrée,Bon état,HP,i5-8365U,8 GO,,Intel UHD,256GO,14.0,SSD,8,256,0
,Lenovo T440,"Bonjour,
Je vend un Ultrabook dans un excellent état avec son charger original, aucune rayures.
 PS : il dispose d'un léger problème de batterie",88000.0,2021-11-19T10:31:51.000Z,Birkhadem,Intégrée,Etat neuf,LENOVO,Intel Core i5-4330M @ 2.80GHz,8 GO,,Intel HD Graphics 620,256GO,14.0,SSD,8,256,0
G15 5520,Dell G15 5520,"🔧 Caractéristiques principales :
	•	Modèle : Dell G15 CN55123SC
	•	Processeur : Intel Core i9-12900H (12e génération, 14 cœurs, jusqu’à 5.0 GHz)
	•	Carte Graphique : NVIDIA® GeForce RTX™ 3070 Ti – 8 Go GDDR6
	•	Écran : 15,6” FHD (1920x1080), 165 Hz, anti-reflet, 300 nits
	•	Mémoire RAM : 16 Go DDR5 (2 x 8 Go), 4800 MHz
	•	Stockage : SSD 512 Go M.2 PCIe NVMe
	•	Clavier : AZERTY rétroéclairé avec pavé numérique (français)
	•	Système d’exploitation : Windows 11 Famille
	•	Connectivité : Wi-Fi 6 AX201, Bluetooth, ports multiples
	•	Batterie : 6 cellules, 86 Wh (excellente autonomie)
	•	Chargeur : Adaptateur CA 240W inclus
",180000.0,2025-06-30T10:23:52.000Z,Kouba,,Bon état,DELL,I9 12eme,16 GO,,Rtx 3070 ti,,15.6,,16,512,0
,"HP ProBook 440 G7 Ryzen 5 4500U 16Go Ram 512Go SSD 14"" FHD Amd Radeon Graphics","Chez BS informatique
🎉🎉🥳🥳 SUPER PROMO 🥳🥳🎉🎉

💻 HP ProBook 440 G7 💻

Utilisé Très Bon état 

✅Processor : AMD Ryzen 5 4500U
✅Memory : 16Go DDR4
✅ Storage : 512Gb SSD 
✅Graphic Card : Amd Radeon Graphics 
✅Display : 14"" FHD Tactile
✅ Clavier QWERTY Lumineux
✅ Prix imbattables : 🔥🔥 67 000 Da🔥🔥
-------------------------------------------------------------------
Avec Garantie 04 mois 
Livraison 58 WILAYA
Payement à la collecte.
CCP/ acceptée. Chèque virement
Facturation Possible Pour Les Entreprises.
E-Mail: 
Telephone,Whatsapp:/ /
Localisation sur Google maps (BS INFORMATIQUE) a côté Station météo gué de Constantine🚄🚄🚄
MOBILE 📱 COMMERCIAL :
MOBILE 📱 COMMERCIAL :
TÉLÉPHONE ☎️ FAX :
INSTAGRAM : @bs_informatique
Lmaps
🕹️🕹️🕹️🕹️🕹️ BS INFORMATIQUE🕹️🕹️🕹️🕹️🕹️
Adresse a côté de la station métro de Gue
Constantine WILAYA d'Alger
#followmefollowyou
#hp #gaming #nvidia #rog #fps #design #3D #architecture #pubg #csgo #fortnite #laptop #ordinateur #ssd #windows #hightech #kouba #alger #algeria #algiers #dz",67000.0,2024-08-29T09:38:40.000Z,Ain naadja,Intégrée,Etat neuf,HP,Amd Ryzen 5 4500U,16 GO,,Amd Radeon Graphics,512GO,14.0,SSD,16,512,0
,Hp celeron N3060,"DÉTAILS DU PRODUIT : 
Ecran: 15.6″,  1366 × 768 pixels
Mémoire: 500 Go HDD, 4 Go RAM
Processeur: Intel Celeron N3060 1.6 GHz ( Dual-Core )
Connectivité: Wi-Fi 802.11N, Ethernet LAN
Port: 2 x USB 3.0 + 1 x USB 2.0, 1 x HDMI",40000.0,2023-01-24T21:11:17.000Z,Setif,,Bon état,,Celeron,4 GO,,,500GO,15.6,HDD,4,0,500
